,0
213,N=C(NCCCCCCNC(=N)NC(=N)Nc1ccc(Cl)cc1)NC(=N)Nc1ccc(Cl)cc1
214,CN1C(=O)CCS(=O)(=O)C1c1ccc(Cl)cc1
215,O=C(/C=C/c1ccc(O)c(O)c1)O[C@@H]1C[C@](O)(C(=O)O)C[C@@H](O)[C@H]1O
216,CN(C)CCN(Cc1ccc(Cl)cc1)c1ccccn1.Cl
217,Clc1cnccn1
218,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12.O=P(O)(O)O.O=P(O)(O)O
219,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1
220,N=C(O)OCC(O)COc1ccc(Cl)cc1
221,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21.Cl
222,CCCN=C(O)NS(=O)(=O)c1ccc(Cl)cc1
223,CCCN=C(O)NS(=O)(=O)c1ccc(Cl)cc1
224,Cl.[2H]C([2H])([2H])N(CC/C=C1/c2ccccc2Sc2ccc(Cl)cc21)C([2H])([2H])[2H]
225,NS(=O)(=O)c1cc(C2(O)N=C(O)c3ccccc32)ccc1Cl
226,CN(C)C1C(=O)C(C(=N)O)=C(O)[C@@]2(O)C(=O)C3=C(O)c4c(O)ccc(Cl)c4[C@@](C)(O)[C@H]3C[C@@H]12.Cl
227,Oc1nc2cc(Cl)ccc2o1
228,O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12
229,C[C@H]1C[C@H](C)C(=O)[C@H]([C@H](O)CC2CC(=O)N=C(O)C2)C1
230,Cc1cc(C2CCCCC2)n(O)c(=O)c1.NCCO
231,C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(O)=N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(O)=N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(O)=N[C@@H](C)C(O)=N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C
232,C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(O)=N[C@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(O)=N[C@@H](C(C)C)C(=O)N(C)[C@H](CC(C)C)C(O)=N[C@@H](C)C(O)=N[C@@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@H](C(C)C)C(=O)N1C
233,CN=C(NC#N)NCCSCc1[nH]cnc1C
